comment,star,likesCount
当代的儒林外史。令人惊讶的是，与两三百年前相比竟然没有改变的是，学术圈就是名利场，学界也即是官场。形形色色的人物众多，洋洋洒洒近百万字，逼真写出了学术圈的百态。是一本很值得读的书，如果耐得下心来读的话。,力荐,219
据说李洱完成本作花了十三年，所以八十多万字的恣肆与絮叨中足见其勃勃而生的野心和亦步亦趋的布局，从引经据典到笔记段子，从学院大儒到芸芸众生，从家长里短到权力倾轧，一个儒学院的“应物”而生牵出了当下学界政坛商场等乃至贩夫走卒的世风群像，而且从人物取名到性格设定到语言风格都颇多隐喻和讽刺，读起来常常啼笑皆非。不过篇幅还是太长，上册洋洋洒洒的铺陈尚在谋篇取巧和不失新意之间游走，下册则旁枝过多，难免失控。印象中上一部以文化圈的壳映射整个社会众生相的长篇还是《废都》，只不过平凹的思想深度和高度恐怕要在很多年后方可体现，而其对明清世相小说的因袭与传承也走得更远；上一部以语词串起全书的小说还是《马桥词典》，而在这一结构的运用上，韩少功无疑也更浑然，当然马桥更是有意而为，本书则多少有点“应物随心”了,推荐,179
中国当代作家那份脱离时代的酸腐相在作者身上展示的淋漓尽致……说这本书是垃圾都侮辱垃圾。写的不行这就罢了，还要找一堆人为自己吹捧，陷入自说自话自娱自乐的死胡同里手银不止，真是不知世界有多大，也难怪喜欢中国当代文学的人越来越少,很差,88
没空仔细看，翻了一下，,,
对于同行而言，读起来还真的很有意思,,
身边的老师们就是这样的,,
比闫真强，闫真实在拧巴,力荐,55
豆瓣评价两极分化，我做一个弥合之论：这本小说不具有何种重大文学史意义，但并不差，不是失败之作。我用六个字概括：有意思，不好看。有意思，是指小说适合熟悉大学文史哲学院生活的读者，作者故意用一种掉书袋式的写法，表现知识分子无聊虚伪荒诞的生活，很多细节和段落非常有趣，乐不可支。小说犹如对知识分子只剩下“知识”二字以供装点的一声叹息，细节的趣味里透出整体性的无聊；言其不好看，是因为絮叨的叙事风格让人窒息，就像未经雕琢的原材料，不美不打动人。有评论说小说回到了古代长篇小说的叙事结构，这话说的不算错，但红楼梦字字珠玑，这本书则恨不能出个删节本。总之：这是值得评论的一部作品，是不俗之作，但也不必拔高过甚，小说会吸引对学院生活感兴趣的读者，那些企图从中获得戏剧性愉悦或人生哲理时代感悟的读者必会失望。,还行,50
断断续续两个月终于读完，出于浩大的宣传和两极化的评论的好奇。这本书那些琐碎的闪光的细节是突出的，但在整体上作为一部长篇小说是先天不足的，并且后程确实乏力。诸多无关紧要生长出的细节就像被描摹的生活本身一样层出不穷，这种呈现在我看来却恰恰是一种掌控和惊人的建构。,推荐,47
只有认真读过《应物兄》这部作品，分析过这部作品，才知道这是一部我们时代的大作品。绝大多数人自己根本没有读过就跟着别有用心的人乱叫嚣，甚至包括一些文学教授，这也正好印证了我们时代的整体堕落。或许这也是常态。,力荐,62
难得的佳作 荒唐的国学背景下荒唐的人 满纸道德仁义 字间却都是荒诞 鲁迅当年反对的 又复兴了 一群小丑的群像却又是发生的真实 对得起当代“儒林外史”之称,力荐,41
这一周最主要的不务正业…本来以为是《儒林外史》，最后看来还是《红楼梦》的意味浓些。知识分子猥琐起来，真的没有底线。可是底线下面，还有不少人呢。正剧变成了闹剧。裹挟于其中的人们，自得其乐；偶有一二清醒者，只能在梦里独善其身，醒来仍要随波逐流。,推荐,34
买于获奖前，读于获奖后。评论吹的很高，打来豆瓣评分一看傻眼了，看了看热评，更傻了，甚至有些怀疑自己的阅读品味。首先得说，这的确不是一本第一流的作品，结构松散，情节拖沓，结尾仓促等等都是问题。也许的确配不上茅奖，但若说是一星的垃圾，我也难以苟同。看小说是图什么？看当代文学我主要图一消遣，至少这本书我看的很轻松，就像一部电视剧，看看那些道貌岸然的众生相，热热闹闹，不知不觉的也就结束了。看豆瓣评分，有时会感觉到，有些人真的在用双重标准来评判国内外的作者和作品。亦又见丑化女性论，我真的不知所措。也许李洱写这本书，得罪了不少人……,推荐,38
抱着极大的兴趣开始读，太痛苦了，读了2/3，终于想开了，决定不读。我觉得，两册书读了一册半，大约还是有资格标“读过“吧？实在是太差了，但这并不是最可怕的，最可怕的是，竟然被捧得那么高……,很差,33
中国文学没救了,较差,30
李洱的小说，读起来让人痛苦，甚至不想读下去。因为只有李洱有这样的勇气和情怀：直面人性的丑陋和无耻，唯有此，中国的知识分子才有救了！,推荐,33
可以说这不仅仅是一部讽刺高校学术圈的小说，它更是学者在面对现实时的自白书。,推荐,32
这本书看了恨不得撕碎了！但是撕碎解决不了问题！只有改变才能解决问题！小说家的任务完成了！可以说圆满完成了！,力荐,30
能不能给负分,很差,27
茅酱水平；真不咋地。,很差,21
强迫自己看完了这本写了十三年的狗屎！要叙事没叙事，要人物特征没人物特征，要思想没思想，真不知道是因为什么把这书捧上天的，还什么“挪动了中国当代文学地图的坐标”，确实挪动了，只是不知道往后而不是往前挪动了多少！,,
以“太和”儒学研究院的筹设作为叙事线索，为了炫技，生拉硬拽了各种匪夷所思的情节来卖弄之乎者也和各种西方学科的皮毛知识，爱用“如前所述”来回应在老远之前留下的伏笔，也爱用“后来才知道”这种无聊的话来串联情节，最后自己都不知道该在哪里去回应伏笔了！看过以后你真的会后悔花了几时大洋买了这么一千多页的垃圾，还得后悔自己不该花这么多时间在垃圾上，想要看看它到底是不是垃圾，等你看完了，你终于确定：这真的是垃圾中的垃圾！,很差,22
恶心到吐,很差,19
说好的，你们念过书吗。,很差,18
读起来味同嚼蜡，再加上迂腐之气，作者的全知全能视角里充满自得，好像又有讽刺，加起来就是自恋。特意去看结尾，后记，评论之类，看是不是真的讽刺，结果全是吹捧和煽情。茅盾文学奖评奖的人的语感和文学观大概从未进步吧，三观囿于井底。,很差,16
“对于汉语长篇小说艺术而言，《应物兄》已经悄然挪动了中国当代文学地图的坐标”——挪到哪了，垃圾堆么？,很差,13
直到读完全书我也没懂什么叫“经史子集的叙述方式”，更不用说所谓“以才学为小说”，“以才学为诗”、“以才学为小说”总不算是很好的形容，但也不是人人都当得起这个资格的。以作者的“才学”去写知识分子的生态，涉笔都是民科的狂欢。在不提及人文专业学术时，我大约还愿意给三星表及格，但凡语及，行文和“经史子集的叙述方式”这个无脑评语一样蠢而且不通。作者似乎想写出一本《儒林》，但自己却成了儒林。说到底，即使忽略作者根底的匮乏，我也很难看出本书较之《废都》进步在哪里，二十世纪知识分子的堕落不难目见，对其的书写本质还是乡土叙事乃至黑幕小说。八九十年代的转向能不能写出、敢不敢来写，我以为很难。当代文学作为一门学科的说服力，除了本身学理因素外，总还跟研究对象和研究者的学问息息相关。李洱提供了一个成功的失败典例。,较差,13
这部小说和李陀《无名指》给我的感觉一样：自作聪明，语言絮叨。我已经很长时间不关注当下的小说写作了，偶尔读几部作品都感觉很失望。然而，即便是这样让人失望的作品，仍然有一帮人在吹捧。小说界这种现象严重，诗歌界更是如此。捧与被捧已经成为文学界的常态。,还行,22
这一星，敬找水军刷好评的李洱！不信点开最新评论，尬吹五星的，清一色小号，我吐了！！！‖国庆结束更：眼睁睁地看着6.7的评分升到了6.8，不得不说李洱还真是厉害，细水长流地往上刷，豆瓣的反水军机制都不好使了，呵呵呵...,很差,16
的确很对不住年前的期待啊,较差,12
一星半，两星都多。什么破玩意装腔作势。,较差,15
就这，竟然得了矛盾文学奖。,较差,12
什么阿猫阿狗都能得奖吗,很差,12
有点废都味道，一群当下毫无灵魂，没有独立思考，靠巧立名目拉赞助的钱的知识分子（是对真正意义上知识分子的极大侮辱）在混吃混喝等死，就像这本书，互相吹捧，生拼硬凑，还什么坊间传说弄个大东西，还什么移位，,很差,10
说是乏善可陈都还略显含蓄了。《应物兄》初读让我想到《白色巨塔》，对于现实社会的目标与成就对某一类群体带来的影响，作出了试图探讨的姿态。在小说里，知识分子的连番出场却支撑不起哪怕一个具有吸引力的人物，总感觉作者对于想表达的内容是失焦的，像是把零星的想法一点一点原样排列出来，应物兄等人的生死爱欲在这样琐碎的叙述中，随着文字的叠加只是一潭死水愈发让人无法忍受。既没有古典的气息又离现代小说的精神差之甚远。,很差,11
